risk_id,risk_description,risk_category,inherent_risk_rating,control_id,control_activity,control_type,control_frequency,control_owner,control_evidence,residual_risk_rating,related_requirements,related_uat_test_cases
R-001,Payment exceptions may not be captured in a centralized workflow,Operational,High,C-001,Create each payment exception as a uniquely identified case,Preventive,At case creation,Payments Operations,System-generated case identifier,Low,BRQ-001|FR-001|FR-002|DR-001,TC-001
R-002,Payment exception cases may contain incomplete or missing information,Data Quality,High,C-002,Require mandatory payment and exception fields before investigation begins,Preventive,At case creation,Payments Operations,Mandatory field validation result,Medium,FR-003|DR-002:DR-008|DQ-002:DQ-007,TC-002
R-003,Open payment exception cases may remain unassigned,Operational,High,C-003,Display unassigned cases in a dedicated team lead control view,Detective,Daily,Payments Operations Team Lead,Unassigned case report,Medium,BRQ-002|FR-006|FR-017|CR-006,TC-006|TC-007
R-004,Cases may be assigned an incorrect or missing operational priority,Operational,High,C-004,Require a controlled priority value for each active case,Preventive,At case creation and update,Payments Operations,Priority field history,Medium,FR-007|DR-010|DQ-006,TC-008|TC-028
R-005,High-value payment exceptions may not receive appropriate management attention,Financial,High,C-005,Flag high-value cases and require High or Critical priority,Preventive / Detective,At case creation and daily,Payments Operations Team Lead,High-value case report,Medium,CR-003|BR-019|DR-004,TC-008
R-006,Potential duplicate payments may not be escalated,Financial,Critical,C-006,Flag duplicate payment risk cases and require escalation review,Preventive / Detective,At identification,Payments Operations Team Lead,Duplicate-risk case report,Medium,BR-020|FR-012|DR-016,TC-009
R-007,SLA breaches may not be identified or reviewed promptly,Operational,High,C-007,Calculate SLA due dates and automatically flag breached cases,Detective,Daily,Payments Operations Team Lead,SLA breach report,Medium,FR-008|FR-009|DR-013|DR-014|CR-004,TC-010|TC-011|TC-021
R-008,Aged payment exceptions may remain unresolved without management visibility,Operational,High,C-008,Calculate case aging and flag cases exceeding the aging threshold,Detective,Daily,Payments Operations Team Lead,Aged exceptions report,Medium,FR-010|DR-015|CR-005,TC-012|TC-013|TC-022
R-009,High-risk or overdue cases may not be escalated,Operational Risk,High,C-009,Require escalation for defined high-risk SLA and aging conditions,Preventive / Detective,Daily,Payments Operations Team Lead,Escalation report,Medium,BRQ-005|FR-012|FR-018,TC-014|TC-023
R-010,Cases may be resolved without sufficient investigation evidence,Operational Risk,High,C-010,Require investigation notes before a case can be resolved or closed,Preventive,At resolution and closure,Payments Operations,Investigation note history,Low,FR-011|DR-017|CR-002,TC-015|TC-016
R-011,Cases may be closed without a documented closure reason,Operational Risk,High,C-011,Require a controlled closure reason before case closure,Preventive,At closure,Payments Operations,Closure reason and closed date,Low,FR-013|DR-018|CR-001,TC-017|TC-018
R-012,Cases may bypass the approved status lifecycle,Process,High,C-012,Validate status transitions and prevent direct movement from New to Closed,Preventive,At status update,Payments Operations,Status transition history,Low,FR-005|FR-014,TC-004|TC-005
R-013,Invalid or inconsistent status values may affect workflow and reporting,Data Quality,Medium,C-013,Restrict status selection to the controlled lifecycle values,Preventive,At status update,Payments Operations,Status validation result,Low,FR-005|DR-009|DQ-005,TC-027
R-014,Inconsistent exception categorization may reduce reporting accuracy,Data Quality,Medium,C-014,Use a controlled payment exception taxonomy,Preventive,At case creation and update,Payments Operations,Exception type field and validation result,Low,FR-004|DR-008|DQ-007,TC-003
R-015,Changes to a case may not be retained for audit review,Audit,High,C-015,Retain history of status priority ownership escalation and notes,Detective,Continuous,Product / Technology,Case history extract,Low,BRQ-006|FR-016|CR-007|CR-008,TC-019
R-016,Escalations may occur without a documented reason or accountable owner,Operational Risk,High,C-016,Require escalation reason date and escalation owner,Preventive,At escalation,Payments Operations Team Lead,Escalation fields and history,Low,FR-012|DR-016,TC-014|TC-023
R-017,Management may lack reliable information about exception volumes and performance,Reporting,High,C-017,Provide standardized operational and management reporting,Detective,Daily and weekly,Payments Operations Manager,Management dashboard and reports,Medium,BRQ-007|RR-001:RR-009,TC-021:TC-025
R-018,Control reviewers may not have sufficient evidence that controls operated effectively,Operational Risk,High,C-018,Provide control evidence reporting for key exception controls,Detective,Daily and monthly,Risk / Operational Control,Control evidence report,Medium,CR-001:CR-008|RPT-010,TC-026
R-019,Invalid or inconsistent case data may affect decisions and reporting,Data Quality,High,C-019,Run defined data quality checks against payment exception records,Detective,Daily,Data / Reporting,DQ validation report,Medium,DQ-001:DQ-012,TC-002|TC-027|TC-028|TC-029
R-020,Customer-impacting payment exceptions may not receive sufficient priority,Customer Risk,High,C-020,Capture customer impact flag and include affected cases in priority review,Preventive / Detective,At case creation and daily,Payments Operations Team Lead,Customer-impact case report,Medium,BR-021|customer_impact_flag,Future detailed UAT coverage
