reporting_snapshot_date,case_id,case_title,created_date,owner,team_queue,payment_reference,payment_date,amount,currency,payment_channel,exception_source,exception_type,rejection_reason,root_cause,customer_impact_flag,high_value_flag,duplicate_risk_flag,status,priority,sla_due_date,sla_breach_flag,days_open,final_age_at_closure,aging_bucket,aged_exception_flag,escalation_flag,escalation_reason,escalation_owner,investigation_notes,closure_reason,closed_date,resolution_outcome,open_case_flag,unassigned_case_flag,management_review_flag
2025-02-14,CASE-2025-000001,Missing payment reference,2025-02-13,,,PAY-100001,2025-02-13,920.00,GBP,Wallet,Reconciliation,Missing Reference,,,No,No,No,New,Medium,2025-02-20,No,1,,0-2 days,No,No,,,Case created from unmatched reconciliation item; payment reference review pending.,,,,Yes,Yes,Yes
2025-02-14,CASE-2025-000002,Bank rejection requiring urgent correction,2025-02-10,Analyst B,Bank Transfers,PAY-100002,2025-02-10,25000.00,EUR,Bank Transfer,Bank File,Bank Rejection,Invalid beneficiary account,Incorrect beneficiary details,Yes,No,No,Escalated,High,2025-02-13,Yes,4,,3-5 days,No,Yes,High priority SLA breach,Payments Team Lead,Bank rejection confirmed; corrected beneficiary details requested from internal payment team.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000003,Critical high-value bank rejection,2025-02-03,Analyst A,Bank Transfers,PAY-100003,2025-02-03,125000.00,EUR,Bank Transfer,Bank File,Bank Rejection,Beneficiary account closed,Outdated beneficiary static data,Yes,Yes,No,Escalated,Critical,2025-02-04,Yes,9,,6-10 days,Yes,Yes,Critical high-value SLA breach,Operations Manager,Bank confirmed beneficiary account closure; replacement settlement instructions are being validated.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000004,PSP rejection awaiting external response,2025-02-11,Analyst C,Card Payments,PAY-100004,2025-02-11,12500.00,EUR,Card,PSP Report,PSP Rejection,Issuer declined transaction,,Yes,No,No,Pending External Response,High,2025-02-14,No,3,,3-5 days,No,No,,,PSP support ticket opened; issuer response pending.,,,,Yes,No,No
2025-02-14,CASE-2025-000005,Potential duplicate payment,2025-02-05,Analyst D,Bank Transfers,PAY-100005,2025-02-05,80000.00,EUR,Bank Transfer,Reconciliation,Duplicate Payment Risk,,Duplicate instruction submitted,No,No,Yes,Escalated,High,2025-02-10,Yes,7,,6-10 days,Yes,Yes,Duplicate payment risk and SLA breach,Payments Team Lead,Second instruction identified; bank recall feasibility under review.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000006,Returned supplier payment,2025-02-12,Analyst E,Bank Transfers,PAY-100006,2025-02-12,5000.00,USD,Bank Transfer,Bank File,Returned Payment,Beneficiary name mismatch,,No,No,No,In Review,Medium,2025-02-19,No,2,,0-2 days,No,No,,,Returned payment received; beneficiary details are being checked against invoice records.,,,,Yes,No,No
2025-02-14,CASE-2025-000007,High-value delayed settlement,2025-01-27,Analyst A,Bank Transfers,PAY-100007,2025-01-27,250000.00,EUR,Bank Transfer,Reconciliation,Delayed Settlement,,Correspondent bank processing delay,No,Yes,No,Escalated,High,2025-01-30,Yes,14,,11-30 days,Yes,Yes,High-value aged SLA breach,Operations Manager,Correspondent bank confirmed processing delay; settlement confirmation remains outstanding.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000008,Unmatched card settlement,2025-02-07,Analyst C,Card Payments,PAY-100008,2025-02-07,15000.00,EUR,Card,Reconciliation,Unmatched Payment,,,No,No,No,In Review,Medium,2025-02-14,No,5,,3-5 days,No,No,,,Internal payment exists but PSP settlement record has not been matched.,,,,Yes,No,No
2025-02-14,CASE-2025-000009,Critical amount mismatch,2025-02-06,Analyst B,Bank Transfers,PAY-100009,2025-02-06,200000.00,EUR,Bank Transfer,Reconciliation,Incorrect Amount,,Manual payment amendment not reflected upstream,Yes,Yes,No,Escalated,Critical,2025-02-07,Yes,6,,6-10 days,Yes,Yes,Critical high-value mismatch,Operations Manager,External amount differs from approved payment instruction; finance validation in progress.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000010,Incorrect currency selected,2025-02-14,Analyst F,Digital Payments,PAY-100010,2025-02-14,300.00,PLN,Wallet,Manual Review,Incorrect Currency,,,No,No,No,New,Low,2025-02-28,No,0,,0-2 days,No,No,,,Case created after manual review identified currency inconsistency.,,,,Yes,No,No
2025-02-14,CASE-2025-000011,Aged missing reference case,2025-01-15,Analyst E,Bank Transfers,PAY-100011,2025-01-15,750.00,EUR,Bank Transfer,Reconciliation,Missing Reference,,External bank reference omitted,No,No,No,Pending External Response,Medium,2025-01-22,Yes,22,,11-30 days,Yes,Yes,External delay causing aged SLA breach,Payments Team Lead,Bank query remains open; payment cannot be matched without external reference.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000012,Long-running customer payment query,2025-01-02,Analyst F,Digital Payments,PAY-100012,2025-01-02,6000.00,GBP,Wallet,Customer Query,Customer Query,,Wallet settlement status not synchronized,Yes,No,No,Escalated,High,2025-01-07,Yes,31,,Over 30 days,Yes,Yes,Customer impact and over-30-day aging,Operations Manager,Customer support escalation remains open; wallet provider reconciliation is unresolved.,,,,Yes,No,Yes
2025-02-14,CASE-2025-000013,Resolved bank rejection,2025-02-03,Analyst B,Bank Transfers,PAY-100013,2025-02-03,4200.00,EUR,Bank Transfer,Bank File,Bank Rejection,Invalid beneficiary address,Incomplete beneficiary static data,No,No,No,Closed,Medium,2025-02-10,No,,3,,No,No,,,Beneficiary address corrected and payment successfully reprocessed.,Payment reprocessed,2025-02-06,Resolved by reprocessing,No,No,No
2025-02-14,CASE-2025-000014,Closed PSP rejection after external delay,2025-01-28,Analyst C,Card Payments,PAY-100014,2025-01-28,1850.00,EUR,Card,PSP Report,PSP Rejection,Authentication failed,Customer authentication not completed,Yes,No,No,Closed,High,2025-01-31,No,,6,,No,Yes,Customer-impacting SLA breach before closure,Payments Team Lead,PSP confirmed authentication failure; customer completed a new successful payment.,PSP issue resolved,2025-02-05,Resolved by customer retry,No,No,No
2025-02-14,CASE-2025-000015,Incorrectly created exception,2025-02-04,Analyst D,Bank Transfers,PAY-100015,2025-02-04,1000.00,EUR,Bank Transfer,Manual Review,Manual Review Required,,Case creation error,No,No,No,Closed,Low,2025-02-18,No,,0,,No,No,,,Payment was already confirmed as settled; exception was created from an outdated report.,Incorrect exception,2025-02-04,No action required,No,No,No
